Raman shift / cm^-1,Counts
648.552,1541.0
650.276,1505.0
651.999,1523.0
653.722,1539.0
655.444,1485.0
657.165,1463.0
658.886,1519.0
660.608,1441.0
662.329,1457.0
664.05,1501.0
665.771,1431.0
667.491,1431.0
669.209,1413.0
670.929,1443.0
672.648,1439.0
674.367,1433.0
676.085,1405.0
677.802,1375.0
679.52,1325.0
681.237,1363.0
682.955,1323.0
684.67,1383.0
686.386,1261.0
688.103,1343.0
689.819,1291.0
691.532,1293.0
693.248,1273.0
694.963,1277.0
696.677,1275.0
698.39,1219.0
700.104,1217.0
701.818,1209.0
703.529,1203.0
705.242,1163.0
706.955,1215.0
708.665,1201.0
710.378,1161.0
712.089,1173.0
713.799,1149.0
715.51,1147.0
717.219,1121.0
718.929,1093.0
720.639,1129.0
722.347,1103.0
724.057,1093.0
725.764,1091.0
727.473,1075.0
729.182,1069.0
730.888,1057.0
732.596,1095.0
734.301,1105.0
736.009,1055.0
737.714,1067.0
739.42,1033.0
741.124,1045.0
742.83,1067.0
744.534,1049.0
746.239,1045.0
747.942,1035.0
749.647,1073.0
751.35,1057.0
753.054,1071.0
754.755,1055.0
756.459,1021.0
758.16,1081.0
759.861,1063.0
761.563,1045.0
763.263,1053.0
764.965,1037.0
766.664,1069.0
768.366,1059.0
770.064,1025.0
771.763,1077.0
773.463,1089.0
775.161,1051.0
776.859,1071.0
778.558,999.0
780.255,1045.0
781.951,1059.0
783.65,1075.0
785.346,1039.0
787.041,1019.0
788.739,1039.0
790.434,1037.0
792.128,1037.0
793.825,1033.0
795.519,1043.0
797.213,1021.0
798.906,1017.0
800.601,981.0
802.294,1007.0
803.986,1021.0
805.678,961.0
807.37,975.0
809.064,1005.0
810.755,1005.0
812.446,985.0
814.136,1013.0
815.827,979.0
817.518,1015.0
819.208,997.0
820.897,943.0
822.586,1005.0
824.275,939.0
825.963,965.0
827.653,959.0
829.341,927.0
831.028,973.0
832.715,955.0
834.402,983.0
836.089,957.0
837.775,937.0
839.46,919.0
841.146,955.0
842.831,931.0
844.516,917.0
846.201,941.0
847.887,937.0
849.571,955.0
851.254,937.0
852.937,917.0
854.62,905.0
856.303,923.0
857.985,939.0
859.667,947.0
861.349,947.0
863.03,921.0
864.709,985.0
866.39,961.0
868.071,961.0
869.751,985.0
871.43,941.0
873.11,935.0
874.789,945.0
876.468,939.0
878.147,973.0
879.825,919.0
881.503,919.0
883.18,955.0
884.856,931.0
886.533,885.0
888.209,933.0
889.886,905.0
891.562,929.0
893.237,923.0
894.911,901.0
896.586,939.0
898.261,917.0
899.935,931.0
901.609,937.0
903.281,927.0
904.955,905.0
906.628,915.0
908.301,897.0
909.973,923.0
911.643,903.0
913.315,923.0
914.987,867.0
916.656,903.0
918.328,887.0
919.998,883.0
921.669,895.0
923.337,873.0
925.006,837.0
926.676,909.0
928.343,887.0
930.012,879.0
931.68,899.0
933.347,873.0
935.015,823.0
936.682,853.0
938.348,847.0
940.014,877.0
941.679,859.0
943.346,899.0
945.012,867.0
946.675,865.0
948.341,871.0
950.004,889.0
951.669,875.0
953.331,871.0
954.995,887.0
956.657,885.0
958.321,873.0
959.984,869.0
961.645,895.0
963.308,891.0
964.968,863.0
966.63,817.0
968.29,871.0
969.949,833.0
971.61,891.0
973.269,907.0
974.93,879.0
976.588,867.0
978.248,885.0
979.905,881.0
981.564,883.0
983.221,863.0
984.878,871.0
986.536,895.0
988.192,879.0
989.85,901.0
991.505,905.0
993.16,891.0
994.817,851.0
996.472,907.0
998.126,893.0
999.782,905.0
1001.44,901.0
1003.09,895.0
1004.74,879.0
1006.4,905.0
1008.05,885.0
1009.7,857.0
1011.35,911.0
1013.01,933.0
1014.66,921.0
1016.31,925.0
1017.96,933.0
1019.61,899.0
1021.26,901.0
1022.91,903.0
1024.56,875.0
1026.21,883.0
1027.86,897.0
1029.51,929.0
1031.15,895.0
1032.8,923.0
1034.45,903.0
1036.1,905.0
1037.75,915.0
1039.39,921.0
1041.04,919.0
1042.68,909.0
1044.33,931.0
1045.98,901.0
1047.62,955.0
1049.27,907.0
1050.91,953.0
1052.56,929.0
1054.2,929.0
1055.84,941.0
1057.49,977.0
1059.13,987.0
1060.77,1015.0
1062.41,1059.0
1064.06,1101.0
1065.7,1097.0
1067.34,1159.0
1068.98,1153.0
1070.62,1253.0
1072.26,1257.0
1073.9,1201.0
1075.54,1205.0
1077.18,1103.0
1078.82,1045.0
1080.46,1005.0
1082.1,987.0
1083.74,1005.0
1085.37,945.0
1087.01,953.0
1088.65,967.0
1090.29,961.0
1091.92,945.0
1093.56,953.0
1095.19,951.0
1096.83,943.0
1098.46,945.0
1100.1,973.0
1101.73,961.0
1103.37,943.0
1105.0,937.0
1106.64,937.0
1108.27,929.0
1109.9,909.0
1111.54,907.0
1113.17,905.0
1114.8,889.0
1116.43,913.0
1118.06,899.0
1119.69,927.0
1121.33,887.0
1122.96,901.0
1124.59,901.0
1126.22,945.0
1127.85,945.0
1129.48,907.0
1131.1,879.0
1132.73,927.0
1134.36,887.0
1135.99,897.0
1137.62,907.0
1139.24,895.0
1140.87,905.0
1142.5,937.0
1144.13,917.0
1145.75,851.0
1147.38,873.0
1149.0,907.0
1150.63,905.0
1152.25,897.0
1153.88,903.0
1155.5,915.0
1157.12,923.0
1158.75,927.0
1160.37,899.0
1161.99,885.0
1163.62,919.0
1165.24,947.0
1166.86,911.0
1168.48,913.0
1170.11,925.0
1171.73,921.0
1173.35,889.0
