Chemical Shift,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
262.379,-4.579669976578771e-16,-1.1796119636642288e-16,5.48172618408671e-16,1.6653345369377348e-16,-2.7755575615628914e-17,-2.4980018054066022e-15,-1.6653345369377348e-16,-1.0408340855860843e-16,-1.1102230246251565e-15,1.4849232954361469e-15,4.2327252813834093e-16,2.7755575615628914e-16,9.43689570931383e-16,-3.885780586188048e-16,6.38378239159465e-16
262.281,0.0004985102138315295,-3.95516952522712e-16,8.049116928532385e-16,0.003370192707154218,-3.7470027081099033e-16,0.0002430696661685633,-1.3877787807814457e-15,-8.656270145124267e-16,0.003364397985737816,0.0021635804163344097,-8.951173136040325e-16,0.0016139371817548154,0.009299052077230752,0.002856656255638461,-1.1657341758564144e-15
262.183,-7.485331798839923e-16,0.008360609768544372,1.27675647831893e-15,-1.6653345369377348e-16,-9.71445146547012e-16,0.007325022685609139,0.0067091419168158195,-4.354155924701786e-16,0.0069318183737552,-3.885780586188048e-16,-1.0755285551056204e-15,0.008022144842357692,0.020860956377316303,0.00022911935726233762,1.1587952819525071e-15
262.086,-1.0061396160665481e-16,0.039577718326671826,0.0041456096948697535,-5.551115123125783e-16,0.0029317393856814616,0.0006190520278784098,0.04073597747545652,4.371503159461554e-16,0.005957757653900525,4.579669976578771e-16,-8.534839501805891e-16,0.019269916922814823,1.1102230246251565e-15,-1.096345236817342e-15,2.220446049250313e-15
261.988,2.0018708912772354e-15,0.0681825604488385,1.0269562977782698e-15,0.0036509736708296714,0.02986966934306648,2.42861286636753e-16,0.06373953622707981,9.347313504812216e-16,0.0004089502774763526,6.792995000046154e-05,1.2247147740396258e-15,0.018029923780487955,-1.6653345369377348e-16,-5.620504062164855e-16,0.012350006655115361
261.89,-3.608224830031759e-16,0.08793244256003893,-1.7486012637846216e-15,0.01875211448229014,0.05439382866707684,-2.876930464690286e-16,0.06319124128400354,0.020232234672234336,-6.245004513516506e-17,0.005363477746458067,0.03203775714882888,0.006793257337531194,-3.3306690738754696e-16,0.0044018316303566715,0.035719366590764245
261.792,0.006999015468898136,0.09897261200755514,-1.942890293094024e-16,0.04595015067816832,0.0681093933182956,-5.204170427930421e-18,0.044127085905265644,0.019034331739197528,1.321859288694327e-15,0.022309605122686274,0.07044411360317457,-3.7470027081099033e-16,6.42930184911461e-05,2.740863092043355e-16,0.04171435114736649
261.694,0.0070086524824712615,0.1015046172405242,-1.1934897514720433e-15,0.06259749917483654,0.0863470911996429,0.026350872458556985,0.013196616581226103,-7.953707137353661e-16,1.4784180824012338e-15,0.03253119561053788,0.10197435582112338,-7.077671781985373e-16,0.01392718187481326,1.3183898417423734e-15,0.042682684741117916
261.596,0.0035334352212517406,0.1043440109657128,0.00587198160127575,0.06611744565449246,0.0971320019279602,0.06424741522774058,3.469446951953614e-16,-2.3418766925686896e-16,-5.551115123125783e-16,0.054756712557848614,0.13530679871281887,-3.3306690738754696e-16,0.02544263341884387,-2.0296264668928643e-16,0.03770760881822087
261.499,0.002102406494521286,0.11002950168065986,0.04090802965569893,0.04881610076879167,0.11205564218236247,0.055112060887365366,7.494005416219807e-16,6.505213034913027e-16,-5.377642775528102e-16,0.07963366260913522,0.14765680108771598,7.771561172376096e-16,0.042983038387881145,-1.8735013540549517e-16,0.044147656464710236
261.401,0.003551545036576155,0.11998752900055332,0.07655695770040134,0.03725589740068083,0.12813276505761467,0.009687220043577483,0.007310918419451556,0.037129836617510105,-1.3877787807814457e-17,0.11118790235102802,0.14719307909243504,0.013051997362352782,0.07503743274829885,0.001872569031132719,0.06041011859660275
261.303,0.002882651346224334,0.13422777323888033,0.09772339791328634,0.022869691940484244,0.10661784651529047,-2.636779683484747e-16,0.019356029786428308,0.07492007459768439,0.003726038518605441,0.14475940221401465,0.1461081226190859,0.02528613328856981,0.09907720601268108,0.02878661862149777,0.08407922366937137
